currency,rate,date
EUR,1.0,2025-11-21
USD,1.1520,2025-11-21
JPY,180.56,2025-11-21
BGN,1.9558,2025-11-21
CZK,24.235,2025-11-21
DKK,7.4687,2025-11-21
GBP,0.88030,2025-11-21
HUF,383.43,2025-11-21
PLN,4.2448,2025-11-21
RON,5.0896,2025-11-21
SEK,11.0260,2025-11-21
CHF,0.9289,2025-11-21
ISK,147.20,2025-11-21
NOK,11.7940,2025-11-21
TRY,48.8961,2025-11-21
AUD,1.7873,2025-11-21
BRL,6.1879,2025-11-21
CAD,1.6226,2025-11-21
CNY,8.1905,2025-11-21
HKD,8.9679,2025-11-21
IDR,19258.85,2025-11-21
ILS,3.7816,2025-11-21
INR,103.2628,2025-11-21
KRW,1698.38,2025-11-21
MXN,21.2561,2025-11-21
MYR,4.7796,2025-11-21
NZD,2.0560,2025-11-21
PHP,67.817,2025-11-21
SGD,1.5065,2025-11-21
THB,37.382,2025-11-21
ZAR,19.9970,2025-11-21
